Temperature,Humidity,Moisture,Nitrogen,Phosphorus,Potassium,PH,Light_Intensity,Yield_Rate,Target_Disease
20.8,89.3,55.88,44.05,36.97,43.29,7.9,207.7,52.37,Powdery_Mildew
34.33,28.29,62.5,29.71,46.44,46.67,5.0,262.0,45.38,Root_Rot
18.15,31.7,64.9,10.87,19.04,18.94,7.57,749.9,44.33,Healthy
24.02,89.92,18.02,32.99,45.29,26.13,5.21,729.2,37.04,Early_Blight
12.33,56.05,41.87,48.59,42.21,26.55,5.02,823.4,42.1,Healthy
33.85,33.82,33.94,46.6,22.79,17.69,6.21,552.7,46.19,Healthy
29.76,92.95,26.56,25.7,48.1,21.82,7.84,871.8,34.53,Powdery_Mildew
40.89,89.29,55.52,13.26,45.71,33.3,7.17,943.5,51.75,Early_Blight
20.27,64.09,54.68,34.51,10.26,17.46,5.15,923.2,48.72,Root_Rot
37.44,83.09,28.8,39.31,39.51,12.68,8.13,503.1,46.17,Bacterial_Leaf_Spot
24.63,87.91,47.4,46.41,17.32,27.21,7.74,239.3,44.11,Powdery_Mildew
37.87,69.33,40.98,39.5,37.86,41.46,6.51,730.7,47.82,Healthy
22.62,84.41,39.26,48.77,16.1,29.59,5.33,315.4,42.8,Powdery_Mildew
32.6,79.58,65.17,17.54,24.26,15.71,5.37,353.7,42.74,Root_Rot
39.31,88.12,21.16,10.44,27.6,21.66,7.79,758.8,38.87,Early_Blight
14.79,94.36,18.6,46.07,47.28,19.83,6.95,315.7,44.9,Powdery_Mildew
27.98,80.86,19.16,45.35,33.44,46.2,7.43,732.3,43.3,Bacterial_Leaf_Spot
37.76,52.27,37.55,29.7,31.31,35.45,5.24,718.3,36.68,Healthy
26.93,90.07,31.1,15.15,35.44,14.3,7.27,923.6,33.11,Early_Blight
16.97,73.19,62.62,33.41,23.82,25.86,7.22,686.8,57.32,Healthy
34.63,39.91,32.2,16.78,29.17,12.15,7.56,551.7,33.74,Healthy
35.38,76.63,23.94,30.29,36.6,34.28,7.61,289.8,36.99,Early_Blight
32.57,36.87,9.88,35.27,38.54,33.51,5.16,308.4,32.84,Healthy
33.1,71.68,17.03,35.47,10.74,43.9,6.49,747.6,41.53,Healthy
28.9,61.24,21.02,29.48,44.43,43.33,6.58,422.3,37.04,Healthy
24.77,45.48,20.26,49.27,23.94,38.13,7.94,517.0,40.79,Healthy
20.85,89.42,34.66,36.3,15.62,36.21,6.28,215.2,33.23,Powdery_Mildew
28.29,87.87,19.9,29.65,13.82,30.91,8.1,732.2,35.43,Early_Blight
33.78,90.23,30.89,13.09,48.48,40.09,5.82,418.8,40.35,Early_Blight
16.79,90.07,48.16,42.89,27.26,31.55,5.05,326.2,43.59,Rust
24.8,36.82,28.42,30.78,30.39,46.65,6.39,986.4,45.45,Healthy
39.51,83.74,35.11,30.65,19.15,46.47,5.31,265.2,38.7,Early_Blight
21.46,28.75,44.95,38.71,18.61,15.08,5.5,509.2,33.65,Healthy
17.2,38.59,63.65,37.46,27.46,46.66,5.21,859.2,47.79,Root_Rot
28.79,76.84,58.68,35.56,44.1,42.17,5.46,831.5,47.46,Root_Rot
31.51,85.83,28.03,48.72,40.84,13.19,7.58,365.5,47.76,Bacterial_Leaf_Spot
22.53,88.3,55.05,32.41,35.95,14.15,6.01,357.4,41.45,Rust
32.69,90.26,19.32,33.04,26.69,44.86,6.53,438.7,43.45,Early_Blight
32.67,88.23,60.82,46.64,48.81,30.7,7.63,857.5,56.3,Bacterial_Leaf_Spot
32.66,68.73,24.18,39.74,21.88,45.4,7.44,663.4,37.27,Healthy
18.07,68.95,15.12,12.23,26.47,26.54,5.04,777.3,33.13,Healthy
39.76,45.48,52.03,17.4,34.0,34.09,4.98,613.9,41.74,Root_Rot
29.87,88.56,21.93,46.08,12.58,11.53,7.39,464.4,41.46,Bacterial_Leaf_Spot
17.65,85.9,57.95,26.45,51.28,14.82,5.87,533.3,41.43,Rust
15.82,32.73,16.4,41.33,44.09,41.24,6.55,272.4,42.62,Root_Rot
30.98,76.15,41.41,14.68,44.57,41.42,7.2,507.6,50.02,Early_Blight
24.68,73.34,16.46,12.57,29.57,33.33,6.28,862.2,39.89,Early_Blight
36.45,82.66,18.26,37.87,37.13,16.44,6.98,804.1,49.29,Healthy
18.29,73.43,37.84,45.66,18.31,27.25,7.67,762.4,46.55,Early_Blight
34.73,63.37,32.67,9.58,31.39,34.2,5.77,284.8,34.15,Healthy
26.81,86.88,30.16,17.03,13.85,21.83,6.38,465.7,28.23,Early_Blight
15.56,26.85,13.61,33.82,31.88,11.53,5.91,279.5,35.28,Healthy
21.88,90.09,60.67,12.53,22.34,16.66,7.78,342.6,43.2,Powdery_Mildew
24.91,79.71,12.83,45.03,41.52,12.79,7.77,349.7,43.81,Bacterial_Leaf_Spot
27.48,72.4,45.16,18.18,32.13,8.94,5.43,406.5,31.48,Early_Blight
30.53,32.86,63.22,37.12,27.99,18.23,5.43,624.0,43.69,Root_Rot
28.66,89.22,56.34,33.78,43.31,17.02,5.17,647.0,42.1,Root_Rot
19.4,67.58,41.05,25.93,10.66,29.82,6.53,893.8,40.97,Healthy
17.71,92.29,41.87,16.62,46.32,23.99,5.34,237.5,34.96,Healthy
31.09,28.0,65.65,36.8,34.66,19.95,7.95,609.0,50.85,Healthy
20.76,92.0,22.0,33.62,49.31,19.49,7.67,270.9,43.74,Powdery_Mildew
33.1,34.96,51.8,43.6,10.43,31.25,5.29,294.3,32.89,Root_Rot
28.21,67.51,51.47,16.79,23.82,21.56,8.01,644.9,48.1,Early_Blight
24.6,78.6,28.58,29.28,17.2,39.68,8.21,416.0,42.07,Early_Blight
27.19,94.55,57.43,44.93,15.1,46.81,5.25,440.6,44.26,Root_Rot
30.87,89.58,24.2,42.54,25.31,29.82,7.36,450.1,46.62,Bacterial_Leaf_Spot
31.07,72.23,52.69,21.47,39.7,14.07,6.28,470.3,41.96,Early_Blight
28.99,91.82,58.14,12.77,32.24,29.51,8.03,268.7,47.89,Root_Rot
37.91,69.98,13.83,23.43,23.92,46.88,5.67,568.8,31.12,Early_Blight
40.99,82.7,43.62,23.17,39.15,31.09,5.88,771.2,45.94,Early_Blight
12.77,84.82,64.14,32.28,34.28,43.17,5.77,564.6,44.04,Root_Rot
35.09,66.77,58.14,34.94,30.55,10.66,5.22,576.7,45.99,Root_Rot
21.19,91.25,53.17,18.42,19.37,45.11,5.43,958.9,51.86,Root_Rot
24.43,88.92,47.88,49.71,43.6,24.01,7.48,203.5,50.7,Powdery_Mildew
22.58,79.33,63.43,23.12,46.59,25.94,4.83,544.7,44.17,Root_Rot
15.41,90.39,60.62,15.35,18.67,23.06,7.37,568.8,43.94,Rust
15.14,92.06,55.79,21.81,14.22,28.51,7.09,828.7,42.92,Rust
21.66,89.28,56.98,29.97,24.26,44.89,7.78,848.1,53.69,Rust
18.19,88.14,56.95,37.0,18.26,34.08,7.65,632.0,44.73,Rust
31.58,84.43,22.7,20.32,16.88,17.36,6.26,435.8,35.37,Early_Blight
39.99,58.83,34.64,45.67,37.94,17.44,4.78,440.1,34.58,Healthy
39.59,79.6,48.87,32.26,48.64,47.19,7.03,774.4,52.41,Early_Blight
23.13,90.72,52.27,25.02,45.5,25.3,6.91,252.6,40.69,Powdery_Mildew
20.43,90.13,58.88,47.42,18.99,18.7,5.96,570.0,45.06,Rust
22.36,88.93,39.48,23.02,12.04,28.3,5.0,253.0,34.2,Powdery_Mildew
22.62,89.65,59.06,14.08,41.67,47.44,7.69,782.3,58.78,Rust
27.25,76.08,40.35,25.36,29.55,33.06,6.58,815.6,56.35,Early_Blight
11.69,80.26,63.8,32.56,36.18,43.01,5.76,505.5,52.53,Root_Rot
25.99,84.41,59.37,14.69,32.98,43.21,6.87,550.5,48.4,Early_Blight
40.59,44.93,58.64,15.63,26.62,44.23,7.89,920.7,57.25,Healthy
25.79,44.01,39.01,46.99,35.27,33.07,7.49,643.2,48.75,Bacterial_Leaf_Spot
37.67,82.53,49.11,50.04,30.92,35.21,6.68,222.0,46.99,Healthy
21.85,91.43,37.53,26.78,21.89,45.19,6.42,248.1,46.17,Powdery_Mildew
19.1,63.4,60.14,12.08,19.85,46.54,4.99,823.1,34.3,Root_Rot
21.84,84.71,49.64,25.01,40.08,36.2,5.95,337.5,39.39,Powdery_Mildew
27.9,53.19,53.37,19.81,9.96,41.04,6.11,609.8,38.46,Powdery_Mildew
20.99,92.16,42.5,14.28,15.95,19.86,6.33,264.2,42.36,Powdery_Mildew
38.07,82.6,29.12,11.67,30.53,47.24,5.02,788.3,39.79,Early_Blight
22.49,87.4,21.1,18.95,50.09,19.93,6.91,515.8,37.24,Healthy
25.65,88.43,48.81,23.56,24.79,40.82,7.6,278.4,47.78,Powdery_Mildew
37.84,87.75,18.2,39.36,32.6,15.75,7.12,744.2,47.24,Healthy
15.43,93.18,54.81,23.77,14.28,28.86,7.1,850.8,51.99,Rust
35.15,56.31,58.25,16.84,18.25,41.36,6.05,477.8,53.07,Healthy
28.29,81.95,19.31,25.52,35.79,38.79,6.12,605.9,38.21,Early_Blight
12.44,49.75,45.52,31.6,17.96,10.73,6.66,983.4,44.18,Healthy
24.36,78.99,60.17,39.33,43.92,31.2,5.6,802.6,49.54,Root_Rot
22.74,84.02,20.38,19.85,30.36,26.56,6.01,289.3,28.24,Powdery_Mildew
33.26,80.31,64.16,44.03,43.39,43.37,5.23,223.5,43.8,Root_Rot
25.29,89.88,56.2,48.03,34.8,25.55,7.71,778.0,54.9,Bacterial_Leaf_Spot
15.13,83.38,51.03,39.35,33.14,45.62,5.06,808.2,52.12,Early_Blight
25.93,90.84,7.76,47.84,19.81,10.65,7.91,955.4,43.87,Bacterial_Leaf_Spot
21.63,89.27,49.98,27.06,43.29,19.63,7.24,271.8,48.22,Powdery_Mildew
34.34,31.49,36.65,47.78,12.01,30.55,7.45,347.2,47.64,Healthy
22.92,93.96,42.95,12.75,10.75,16.14,6.35,465.8,30.95,Healthy
18.44,92.26,63.18,33.33,26.05,37.63,5.46,569.9,50.07,Root_Rot
17.45,91.56,10.68,22.53,33.1,44.6,5.78,440.1,34.04,Healthy
17.31,26.9,10.39,19.14,38.96,49.78,7.88,847.3,41.26,Healthy
27.96,81.77,13.13,46.98,12.17,25.17,7.84,372.7,41.22,Bacterial_Leaf_Spot
31.73,48.15,47.77,46.29,47.36,18.59,5.54,572.6,38.9,Healthy
29.33,88.34,29.07,32.17,45.45,26.66,6.34,365.6,36.37,Early_Blight
21.31,36.51,16.57,42.76,21.07,31.16,6.56,884.4,38.14,Healthy
32.47,92.98,26.39,44.85,45.81,31.73,7.48,581.2,38.78,Bacterial_Leaf_Spot
35.19,73.89,19.34,19.72,18.19,13.02,5.4,269.3,31.22,Early_Blight
25.36,82.01,34.12,30.95,48.77,45.08,5.93,282.6,33.75,Powdery_Mildew
36.24,52.46,58.31,17.17,32.09,40.26,5.43,893.8,39.03,Root_Rot
23.99,73.7,53.38,30.89,37.66,18.57,7.3,840.0,48.11,Early_Blight
22.36,90.06,45.15,15.94,34.93,16.3,7.15,316.5,35.34,Powdery_Mildew
15.75,72.88,33.04,49.6,26.38,34.64,5.13,964.2,42.76,Healthy
33.95,87.71,11.83,30.48,42.21,30.22,7.17,424.8,42.03,Early_Blight
28.23,69.76,34.75,21.07,19.24,40.89,5.87,756.3,34.67,Early_Blight
20.68,80.1,59.96,19.86,15.59,24.06,4.99,734.9,43.46,Root_Rot
32.96,83.63,62.06,21.86,48.79,35.25,7.62,255.8,58.38,Early_Blight
22.73,85.51,48.05,14.05,34.2,14.75,7.01,267.4,38.26,Powdery_Mildew
22.07,92.13,20.56,46.52,34.59,27.66,7.77,308.5,40.39,Powdery_Mildew
17.15,49.82,33.28,26.86,44.85,24.71,6.62,408.1,41.43,Healthy
41.72,80.86,48.11,12.04,21.45,10.09,7.96,950.1,44.92,Bacterial_Leaf_Spot
18.15,88.8,57.4,36.81,18.61,32.27,7.49,667.7,54.42,Root_Rot
29.54,91.95,39.6,22.84,48.36,28.65,7.39,542.0,42.53,Early_Blight
30.78,59.89,45.84,33.04,17.53,42.63,5.51,238.0,40.48,Healthy
28.29,78.52,15.88,42.94,30.7,48.77,7.76,614.7,46.16,Bacterial_Leaf_Spot
31.52,63.09,31.64,13.63,24.45,47.9,6.87,223.7,39.93,Healthy
28.62,70.72,65.07,14.06,27.27,34.42,7.88,909.8,53.58,Early_Blight
40.81,34.19,54.99,17.89,16.06,31.04,6.69,637.6,47.96,Healthy
12.49,90.54,22.28,19.86,16.4,36.85,7.12,758.7,36.34,Healthy
38.61,82.8,54.89,49.01,38.11,25.95,4.83,606.5,44.32,Root_Rot
26.17,71.53,8.55,47.24,21.06,30.52,5.47,463.4,27.57,Healthy
19.31,65.57,16.72,22.35,31.65,18.25,5.77,796.2,45.23,Healthy
23.19,90.0,40.25,32.29,16.56,49.48,6.02,254.2,33.62,Powdery_Mildew
25.94,81.84,33.38,45.89,13.47,42.74,7.57,373.0,42.67,Bacterial_Leaf_Spot
20.65,88.81,26.25,16.78,17.74,49.08,6.54,248.6,41.37,Powdery_Mildew
34.53,55.78,56.85,16.21,19.7,42.25,6.15,490.3,44.39,Healthy
16.77,84.91,51.09,27.4,16.95,21.49,7.26,633.4,44.3,Rust
25.82,53.08,21.87,27.07,14.7,21.85,5.24,691.4,38.1,Healthy
33.96,93.25,14.37,15.63,21.81,28.54,6.4,546.8,38.41,Early_Blight
33.3,90.96,59.27,48.67,34.81,45.72,7.75,572.5,55.64,Bacterial_Leaf_Spot
25.64,37.72,56.24,44.19,32.9,15.77,5.58,941.3,38.85,Root_Rot
21.47,73.6,33.1,15.1,9.99,32.33,6.22,882.8,35.08,Healthy
19.99,86.58,31.38,18.27,43.05,35.02,7.59,287.4,44.1,Healthy
28.32,89.05,17.18,49.22,9.56,36.31,7.49,668.9,42.23,Bacterial_Leaf_Spot
20.35,55.37,42.46,38.92,35.39,48.25,6.94,303.2,43.31,Healthy
33.18,55.61,21.03,47.56,14.54,22.88,5.11,343.5,30.31,Healthy
17.01,85.25,55.32,32.0,32.09,13.53,6.02,352.9,42.56,Rust
34.69,83.72,37.19,40.23,36.11,32.7,5.59,518.1,42.22,Healthy
23.63,92.07,32.32,11.26,37.31,18.96,5.38,247.0,29.32,Powdery_Mildew
26.58,61.84,19.87,30.24,23.98,34.04,5.57,641.9,34.41,Healthy
27.31,94.4,20.54,25.37,42.93,18.86,7.87,284.3,37.06,Early_Blight
24.05,91.05,46.84,47.68,20.98,34.73,7.87,235.5,53.01,Powdery_Mildew
24.44,83.84,27.03,45.94,43.98,20.86,5.6,197.7,28.13,Powdery_Mildew
39.52,66.41,58.35,41.06,26.88,47.52,4.77,726.5,41.77,Root_Rot
22.07,88.31,19.98,22.24,41.26,29.82,4.83,317.1,25.75,Powdery_Mildew
29.97,56.2,31.61,19.97,12.18,11.48,6.84,931.5,38.69,Healthy
22.91,88.53,28.7,38.96,27.71,30.76,7.44,295.4,44.04,Powdery_Mildew
18.6,89.24,52.39,45.09,48.14,46.31,6.95,485.4,49.97,Rust
38.22,78.84,30.05,48.21,36.86,35.21,7.96,312.7,48.93,Bacterial_Leaf_Spot
29.19,91.28,45.61,22.67,44.02,28.65,5.95,713.5,45.98,Early_Blight
35.83,38.28,23.44,47.08,22.84,10.52,5.45,914.1,33.32,Healthy
19.63,67.22,59.73,45.47,50.49,19.14,5.11,263.5,45.8,Root_Rot
27.65,86.75,63.29,46.06,37.08,40.72,7.74,647.9,63.34,Bacterial_Leaf_Spot
36.49,83.9,40.78,34.04,39.47,30.79,5.82,364.9,44.28,Early_Blight
34.74,80.49,61.3,16.06,42.27,41.23,5.31,730.9,45.83,Root_Rot
29.92,36.84,50.37,19.3,25.1,31.27,5.48,802.3,39.36,Root_Rot
23.91,43.88,48.36,26.9,32.11,47.19,8.1,440.2,42.7,Healthy
29.29,83.7,46.53,46.22,45.89,36.99,7.71,440.9,50.09,Bacterial_Leaf_Spot
20.4,46.29,59.73,12.37,40.67,37.73,5.22,420.4,41.36,Root_Rot
38.4,41.7,50.0,18.22,43.43,29.0,7.34,325.8,42.85,Healthy
40.46,58.82,56.83,17.91,25.66,39.15,5.48,788.4,40.83,Root_Rot
36.29,85.87,56.13,36.12,20.2,35.4,7.31,388.5,38.26,Bacterial_Leaf_Spot
21.36,73.48,11.05,12.83,36.54,9.62,6.61,709.0,34.38,Healthy
33.31,56.39,53.7,29.15,48.44,39.93,6.46,476.1,44.72,Healthy
23.28,82.27,58.77,17.44,26.87,28.32,5.91,227.1,43.43,Powdery_Mildew
21.8,89.95,56.22,19.96,43.71,42.75,6.08,854.6,49.88,Rust
25.76,59.21,12.42,27.69,32.2,42.0,5.43,344.5,33.12,Healthy
16.38,82.01,52.51,28.29,47.92,21.77,7.29,245.5,52.2,Rust
17.81,89.57,59.9,19.3,33.09,21.38,6.54,593.2,51.24,Rust
24.42,91.04,45.95,45.45,19.87,33.14,7.85,270.3,49.45,Powdery_Mildew
31.26,69.45,45.21,20.35,49.03,28.99,7.17,674.3,49.33,Early_Blight
35.06,60.53,15.73,27.34,10.43,30.91,5.63,444.6,31.52,Healthy
38.06,65.56,35.37,11.37,9.11,15.97,7.62,456.5,34.66,Early_Blight
24.29,81.34,11.87,14.99,47.21,36.8,7.68,272.7,43.49,Powdery_Mildew
30.71,70.81,36.86,15.03,10.9,40.94,5.41,997.2,43.93,Early_Blight
37.89,29.07,26.13,14.32,36.68,19.52,6.47,818.0,33.5,Healthy
20.57,90.71,46.52,45.36,43.5,32.21,8.11,732.9,49.04,Healthy
22.78,86.58,62.22,42.78,19.73,43.39,7.34,825.4,45.92,Rust
25.86,76.66,56.43,44.39,20.74,15.27,7.45,219.3,46.63,Bacterial_Leaf_Spot
22.32,93.25,60.66,36.45,31.83,28.25,7.44,677.4,51.31,Rust
41.27,91.52,41.56,36.85,14.56,44.03,8.15,576.1,45.36,Bacterial_Leaf_Spot
34.94,93.59,22.07,37.87,16.51,38.19,5.88,708.7,40.15,Healthy
24.79,80.8,17.45,31.25,24.26,34.29,7.71,840.0,44.36,Early_Blight
39.77,80.87,54.29,29.21,28.21,18.26,6.09,249.4,45.87,Early_Blight
27.89,85.97,56.24,47.42,11.14,14.02,7.72,418.3,50.34,Powdery_Mildew
21.81,93.64,58.44,35.31,48.14,33.64,6.67,721.1,60.02,Rust
27.39,89.33,47.16,49.3,11.64,49.2,7.85,252.5,53.97,Bacterial_Leaf_Spot
15.22,83.94,32.34,26.39,45.68,35.21,6.33,737.2,44.54,Healthy
32.65,62.99,56.77,37.25,28.46,10.43,4.73,620.3,45.58,Root_Rot
21.89,94.28,27.41,36.59,51.0,22.48,7.18,250.1,39.16,Powdery_Mildew
17.58,81.53,60.12,24.87,48.43,31.84,5.37,718.3,46.07,Root_Rot
21.01,92.32,25.49,34.46,49.03,20.49,7.39,267.7,35.35,Healthy
24.1,66.07,41.59,14.41,21.78,34.98,5.16,493.0,30.04,Early_Blight
20.08,90.3,41.53,45.2,16.23,24.37,6.82,290.9,44.98,Powdery_Mildew
27.85,47.11,12.03,18.91,44.36,33.06,6.04,749.3,40.34,Healthy
20.89,61.72,21.99,17.85,17.75,28.11,6.62,186.8,30.0,Healthy
40.88,77.4,19.18,16.05,45.51,31.45,4.96,531.0,34.18,Early_Blight
29.34,87.57,62.19,43.18,34.82,44.38,7.4,986.1,59.19,Bacterial_Leaf_Spot
34.19,70.44,37.32,23.83,19.31,11.54,7.83,943.0,48.33,Early_Blight
37.16,88.55,12.7,15.03,37.62,46.39,6.3,674.6,39.59,Early_Blight
29.25,86.99,58.03,45.79,15.94,16.82,7.87,657.5,47.74,Bacterial_Leaf_Spot
31.22,89.74,29.99,22.71,28.86,14.68,6.59,787.5,32.87,Early_Blight
13.35,76.09,23.36,33.07,49.93,25.24,7.08,540.2,44.28,Healthy
39.01,34.97,28.16,20.46,11.42,28.46,7.59,419.5,33.07,Healthy
28.45,49.75,56.26,15.48,20.33,14.11,6.72,784.1,44.92,Healthy
30.67,66.29,33.15,20.5,27.7,26.2,5.71,870.7,51.77,Early_Blight
31.76,89.96,23.02,48.1,33.24,12.65,7.74,314.6,43.97,Bacterial_Leaf_Spot
20.61,91.93,49.35,43.23,29.79,19.28,6.23,784.2,49.01,Rust
29.57,83.61,60.81,48.41,29.45,34.13,7.43,757.2,50.3,Bacterial_Leaf_Spot
23.31,93.58,28.03,36.57,18.57,34.33,7.89,473.5,40.14,Healthy
22.17,82.8,37.36,27.83,36.47,30.62,7.67,267.1,39.36,Powdery_Mildew
20.99,83.57,23.72,41.75,35.05,13.66,5.27,245.7,28.16,Powdery_Mildew
13.91,93.14,62.55,38.14,40.93,13.93,5.22,930.2,46.23,Root_Rot
21.71,74.28,55.89,49.78,18.25,17.15,5.69,453.8,40.95,Root_Rot
36.7,80.64,49.16,31.78,46.07,48.47,6.45,655.2,48.67,Early_Blight
29.35,84.01,55.33,25.97,13.86,48.28,7.77,841.8,49.77,Early_Blight
18.51,40.99,49.11,14.23,20.19,20.86,5.03,501.6,29.59,Healthy
21.69,82.33,42.64,45.77,35.59,35.43,8.02,344.0,48.03,Powdery_Mildew
37.56,71.82,26.02,28.84,30.82,19.92,7.63,832.0,41.07,Early_Blight
27.95,87.39,62.2,46.34,34.98,43.87,7.69,638.0,61.49,Bacterial_Leaf_Spot
26.45,81.41,64.13,48.11,38.25,34.89,7.49,674.3,59.39,Bacterial_Leaf_Spot
35.1,56.98,36.52,16.72,25.4,20.99,7.29,869.9,38.49,Healthy
37.23,86.67,37.23,13.98,11.3,19.24,5.19,563.2,27.05,Early_Blight
18.7,91.93,50.56,31.57,15.71,29.27,7.53,1005.2,48.63,Rust
