filename,pepper bell bacterial spot,pepper bell healthy,potato early blight,potato healthy,potato late blight,tomato target spot
0e043e9a-7652-4e7a-aef1-0caa0c085f55___JR_HL-8479_JPG.rf.0c28efcdf957673793d4b60580dcb5de.jpg,0,1,0,0,0,0
1a482d0c-d3a9-4e79-b412-f2288dc5067f___JR_HL-5852_JPG.rf.f118801449562443679960efa5b9b01c.jpg,0,1,0,0,0,0
1d4acd15-f2b9-4a2e-87da-9d5a2cc6a642___RS_LB-2752_JPG.rf.595b4e1b5a76fd006929d1c1ff651fce.jpg,0,0,0,0,1,0
1f830d02-1fc6-41d6-99c6-851e0d2af4ad___RS_Early-B-9182_JPG.rf.b1533e7db774869e2f17aee805bbc036.jpg,0,0,1,0,0,0
2c8dc060-822b-4027-afb0-ed2284ff471b___JR_HL-8800_JPG.rf.f9d050a486deaefed4cc6639cbd176d2.jpg,0,1,0,0,0,0
80bb8697-bfab-449b-b870-e1ed2089df58___RS_HL-1827_JPG.rf.9fb298adafee35d6fd64243e7aeb16ec.jpg,0,0,0,1,0,0
0c83302d-4233-4e98-8ecf-755a970495bb___RS_LB-4904_JPG.rf.553f9e100dd8b56359bde9f46d77a3b0.jpg,0,0,0,0,1,0
111cd9d8-4d27-4225-be9e-d29b21cf56b9___RS_HL-5419_JPG.rf.21a2ca2202d3ca35721801effbbc7590.jpg,0,0,0,1,0,0
1aa25bab-008c-4114-9832-096d81592dd9___JR_HL-7992_JPG.rf.5ff6d53636b5b952cb170986e424abbc.jpg,0,1,0,0,0,0
1d0430f7-af9b-4e3d-9d4a-47cf676556fe___JR_HL-5938_JPG.rf.6e8b9a60271656963d87f024d4bb3b0e.jpg,0,1,0,0,0,0
7bfda067-6e35-4af5-a9c4-4b3b5f357871___RS_HL-1813_JPG.rf.389ae70197fe7c23dd2c5e630efc300e.jpg,0,0,0,1,0,0
2e0b8b4b-e900-408b-b760-730690bbd382___RS_HL-1901_JPG.rf.9519c12493952ce99c24f6710918e2aa.jpg,0,0,0,1,0,0
2d5def2a-c79d-444e-88be-a5961c9107d0___JR_B-Spot-3249_JPG.rf.c221869ab3728b2487c4d99d17d21e8f.jpg,1,0,0,0,0,0
170f1f57-0fd4-421f-9c82-3b1804be63ad___RS_HL-1771_JPG.rf.5cff2dd2bda14c5541d4b71017140b52.jpg,0,0,0,1,0,0
2d117ef0-5705-4814-b191-1d184204452f___JR_HL-7744_JPG.rf.0ddc767c7403c8b4c8b862e4d2a79f7a.jpg,0,1,0,0,0,0
002f87b7-e1a5-49e5-a422-bb423630ded5___JR_HL-8068_JPG.rf.a0e1f521074b8741d6cc76929651b137.jpg,0,1,0,0,0,0
0c1eb1fd-9e3a-4396-81bc-7d1d3eccc5ed___JR_B-Spot-3369_JPG.rf.b52bdcc6f8e8322ea2749259aecee355.jpg,1,0,0,0,0,0
0d4e35c0-f6d6-4810-9522-14e1d491a05d___JR_HL-8673_JPG.rf.8fd169dfec0da16c3c3ff7f792a2599b.jpg,0,1,0,0,0,0
2d553272-2101-4d56-9819-9f08de938418___NREC_B-Spot-9087_JPG.rf.3767a239ba7325e89b05d10ebd9aa5ae.jpg,1,0,0,0,0,0
3d6a3d51-8a9f-42ff-b4bf-299778c3e0a8___JR_B-Spot-3184_JPG.rf.c374172eaf4bce748772ed20817b06e3.jpg,1,0,0,0,0,0
3a56f122-0d06-45c2-bc2b-0636d42a7545___JR_B-Spot-9088_JPG.rf.cc5650c01aec46f7089e3c5ee5cdc994.jpg,1,0,0,0,0,0
31a09d39-6791-4ecb-8f44-af2ed85dbd33___RS_HL-1970_JPG.rf.1d3a7441a50d547b05b004c01a6c5a2a.jpg,0,0,0,1,0,0
1d18a770-8a16-4765-bae9-5d96f781db89___RS_Early-B-7803_JPG.rf.33fbac352ebfd1ced5f439b7adbd80f9.jpg,0,0,1,0,0,0
2ddd4ad3-221e-4400-a188-0c5ae7a18403___JR_HL-8154_JPG.rf.bd69a7c91e5812d09ebdf6dcc480e544.jpg,0,1,0,0,0,0
1de8ed75-0778-4364-9178-52c1bd0dffb4___RS_Early-B-6729_JPG.rf.098f01ec6a7c3f497d17014e7719f5f5.jpg,0,0,1,0,0,0
1d466431-007d-4b3b-bd45-b09f1a6f7bad___RS_Early-B-8932_JPG.rf.a11ec2d75e19a6b4061004278fa4a1c1.jpg,0,0,1,0,0,0
1a18d84a-8811-4806-830f-d10e98b1800e___RS_LB-3919_JPG.rf.d6aaec90b2844c9febc71135b37b50d5.jpg,0,0,0,0,1,0
0ade14b6-8937-43ea-93eb-98343af6bae7___JR_HL-8026_JPG.rf.80234e7d347a71e59d0aab5fc86e22a7.jpg,0,1,0,0,0,0
0b27c03f-b3bc-4d96-9b76-6fbd779404b9___NREC_B-Spot-1799_JPG.rf.a197c788fa00c7447c1f61b12fcfa9eb.jpg,1,0,0,0,0,0
0eb28ea9-c9e4-4999-9de2-835682241e53___RS_LB-2708_JPG.rf.94a4cbd697f7b52c811116c5fef1bf8d.jpg,0,0,0,0,1,0
0d524d59-fb02-481b-9034-64f1de0da914___NREC_B-Spot-9060_JPG.rf.17d0352fd413d58128860781683bd053.jpg,1,0,0,0,0,0
0b126ce6-af82-477f-8f4e-1de79d84a6dd___Com-G_TgS_FL-8294_JPG.rf.f553c77f67c6a11fc2f3fc5e7af5d03b.jpg,0,0,0,0,0,1
2f26c2e1-a13d-41c9-9adf-51fb0ad99785___NREC_B-Spot-1849_JPG.rf.d8bcc6f4599742cd2667e32ccef47c6b.jpg,1,0,0,0,0,0
1a77c047-7ed8-4f02-bfaf-a19e7a67c3dd___RS_Early-B-7076_JPG.rf.e14c1dfe12f2b975746f59b4a8fbc0d4.jpg,0,0,1,0,0,0
1ed45244-4767-4607-a59e-61342e8f4750___JR_HL-8601_JPG.rf.54b8e7fc8095b41b032172be4299b9b0.jpg,0,1,0,0,0,0
849aa978-c7b9-4344-9ca8-129219a65f8e___RS_HL-1874_JPG.rf.8e545be7476e9a5ec0a8661bf0a54bfe.jpg,0,0,0,1,0,0
23f4d3b1-23f4-43fb-96c2-dae37224ec74___RS_HL-1803_JPG.rf.e848175346d9d0c1be434415c53abe5a.jpg,0,0,0,1,0,0
8c1e1281-5937-4559-a02f-02817de6e122___RS_HL-4173_JPG.rf.2b1af664e43f8241f835e401b28448e4.jpg,0,0,0,1,0,0
1ed357f9-f036-4bf2-b180-1588976eb116___RS_LB-3005_JPG.rf.68d6a6638586dc5bcfa2a4fee1dc70cf.jpg,0,0,0,0,1,0
02a7d2e5-9169-4856-9683-d4fa9894e012___JR_HL-8002_JPG.rf.f1206b68b237136857d779b980639013.jpg,0,1,0,0,0,0
36bdc44c-96a4-40bb-86f7-63a91d706e96___RS_HL-4203_JPG.rf.3576e0f4af27f8f4a58446655545e14a.jpg,0,0,0,1,0,0
0e763e60-8821-4484-9793-f8ee4f515127___Com-G_TgS_FL-8135_JPG.rf.ca6a00223ca4175445bdd55a8d9315a7.jpg,0,0,0,0,0,1
1a146bf4-5696-4e19-842e-9e0e1ac7ac6d___RS_LB-5023_JPG.rf.2548e5972f601b22132b21db4198ac05.jpg,0,0,0,0,1,0
1f80f111-6a3e-4dfc-8456-0f3e9a19ae10___RS_Early-B-6879_JPG.rf.1309565237602580e6c69fb10f87cb7f.jpg,0,0,1,0,0,0
1c043016-2d55-444d-a379-4a2aafc41a32___JR_HL-7909_JPG.rf.acbb724637baf624c6553c85b918558d.jpg,0,1,0,0,0,0
0c4e75b2-e4aa-437e-815c-636271d66bec___JR_B-Spot-3244_JPG.rf.67d1d035ba1fa4829e5d67d3d52fea75.jpg,1,0,0,0,0,0
0f223bbc-d2b4-4d58-8314-359d92d0102b___RS_Early-B-8052_JPG.rf.a087d40ef12e4f551eaf9b9a7b4edaba.jpg,0,0,1,0,0,0
1cb05d87-027d-4bf0-b5c4-4c1a57896ac6___RS_Early-B-7936_JPG.rf.2501472ef44033863875a30a32866e85.jpg,0,0,1,0,0,0
1b589f92-a658-4e58-96de-db41acc411ce___JR_B-Spot-3239_JPG.rf.3bbee21eafec0ecd784d514fb97bc387.jpg,1,0,0,0,0,0
0faca7fe-7254-4dfa-8388-bbc776338c9c___RS_Early-B-7929_JPG.rf.7c86bebb3b71bbc4cbca695fd499c04f.jpg,0,0,1,0,0,0
3b58322b-64c3-4354-8612-93a6f50a096e___JR_B-Spot-3291_JPG.rf.004c556ee8d514959b45ac026862c3c1.jpg,1,0,0,0,0,0
0bbb8bce-2020-416b-8bd6-c160c2db9921___RS_Early-B-8386_JPG.rf.c961826b0279e66fd83562dc6498097b.jpg,0,0,1,0,0,0
5d505af8-3f73-4781-980c-a4a696a04550___RS_HL-1934_JPG.rf.c0847f78567ac6703a4e325096aea868.jpg,0,0,0,1,0,0
1a674846-9d13-4a7f-ba03-8931c5dd3d2c___RS_LB-2768_JPG.rf.ebdc98f4b9f5277b23c23d70094c6d4d.jpg,0,0,0,0,1,0
1ade72cf-f7e0-4282-92d9-614bf05289a0___NREC_B-Spot-1975_JPG.rf.35f17930048af6670b7bac8c5900e237.jpg,1,0,0,0,0,0
1b4b5b1f-9390-46c5-908a-d53b93059f5d___JR_HL-8379_JPG.rf.372be640427506262bb7f35546500c20.jpg,0,1,0,0,0,0
1cb295da-e568-4168-a29c-48ab980f3772___NREC_B-Spot-9250_JPG.rf.d11fd0a94b971a47cb87157ecd310ef0.jpg,1,0,0,0,0,0
1d0e1dec-de79-4e26-b592-b174d7c95739___NREC_B-Spot-9186_JPG.rf.c91d1b784275425596caf604a4a6fdcc.jpg,1,0,0,0,0,0
1cce64aa-6f9f-4ce1-b319-dbc4a012b240___JR_B-Spot-8998_JPG.rf.093795bd07a58e669211235696daa39f.jpg,1,0,0,0,0,0
1b574484-60cd-4ae4-83ed-511a5ae07ea8___JR_HL-7849_JPG.rf.d80c72c959939e29669a7e3a49e30370.jpg,0,1,0,0,0,0
3f365db3-6af8-4113-97f1-1c8771cab676___NREC_B-Spot-1789_JPG.rf.15e2926d19c626b6040ae662174c9872.jpg,1,0,0,0,0,0
2d9f1bf4-6409-488c-8992-92b2909822bd___JR_B-Spot-3342_JPG.rf.ec6c243b578e50c887b06fe4474b88ee.jpg,1,0,0,0,0,0
0a458dfc-b513-44f2-a3ce-dab4c3adb939___Com-G_TgS_FL-8166_JPG.rf.ea7606dd944211ddf40725c22b53079a.jpg,0,0,0,0,0,1
468d3107-f09a-4f0d-8b9d-f08d7c49738f___RS_HL-1747_JPG.rf.68633b000922c21687175999ea7754da.jpg,0,0,0,1,0,0
0e8a96d7-528a-4d09-8263-2a2d92f3c3b1___Com-G_TgS_FL-8337_JPG.rf.83c0bee8a3ecd504b3d50042dd2bde76.jpg,0,0,0,0,0,1
1b71a13e-9f6d-4321-be6e-8a7410b76f0e___JR_HL-7724_JPG.rf.09e6ea3f725261e92b8540538c80ecbe.jpg,0,1,0,0,0,0
2adcf097-e515-49f1-9716-c0d06d8b52b4___NREC_B-Spot-1933_JPG.rf.9644fb9f33bcb1b48944eba389a78264.jpg,1,0,0,0,0,0
2b7b288c-141a-495f-9df0-3199a2815c9a___JR_HL-8731_JPG.rf.c729bb4ffd042a575e622161704dd4e8.jpg,0,1,0,0,0,0
1ce2eb3c-b8a7-4839-9728-a380909f9b89___JR_HL-8448_JPG.rf.0c84dba3a0fdf498ded7aec2c9c9c02e.jpg,0,1,0,0,0,0
2cdea224-6f10-4a3d-a3f1-1debd1a42640___JR_B-Spot-8926_JPG.rf.639b10722788c81220e0fe98f57438f2.jpg,1,0,0,0,0,0
0b3e5032-8ae8-49ac-8157-a1cac3df01dd___RS_HL-1817_JPG.rf.c3bd18213545f4a95a6c3adbd4ec15d4.jpg,0,0,0,1,0,0
aa04db6d-645f-4e8a-88dc-c9f9396f0800___RS_HL-1975_JPG.rf.aa5ce8d7431d43c0d6d0a119e3f8f975.jpg,0,0,0,1,0,0
a02b6205-b40a-4178-8b34-3494f84b9d1f___RS_HL-1958_JPG.rf.c3e28a87c91863aa52a9626281a2bce7.jpg,0,0,0,1,0,0
1e0326a5-b208-447f-9d60-f788ec4b6e3f___RS_LB-4526_JPG.rf.5be09dcc2159837b41f3659d81a9169c.jpg,0,0,0,0,1,0
1ce80571-2358-4616-b04a-14bbdfd2af6b___JR_HL-8340_JPG.rf.5c23eff57aa0ae57c7365bd3146dad0f.jpg,0,1,0,0,0,0
1cd0b065-e637-4307-9e0a-9c20dc44cc59___RS_LB-4784_JPG.rf.d015ad5e9e178656d0ba842cddb69572.jpg,0,0,0,0,1,0
23f1ab77-d664-49c4-92eb-41eb66c6d101___RS_HL-4169_JPG.rf.bd255f09177f8a39bb5d6e4523e36d12.jpg,0,0,0,1,0,0
